sample,time_s,pitch_deg,roll_deg,density_system,density_lab,density_error,total_indicated_volume_gal,total_true_volume_gal,total_indicated_weight_lb,total_true_weight_lb,total_weight_error_lb,probe_height_T1,indicated_volume_gal_T1,indicated_weight_lb_T1,true_volume_gal_T1,true_weight_lb_T1,volume_error_in3_T1,fuel_wl_T1,probe_height_T2,indicated_volume_gal_T2,indicated_weight_lb_T2,true_volume_gal_T2,true_weight_lb_T2,volume_error_in3_T2,fuel_wl_T2,probe_height_T3,indicated_volume_gal_T3,indicated_weight_lb_T3,true_volume_gal_T3,true_weight_lb_T3,volume_error_in3_T3,fuel_wl_T3,probe_height_T4,indicated_volume_gal_T4,indicated_weight_lb_T4,true_volume_gal_T4,true_weight_lb_T4,volume_error_in3_T4,fuel_wl_T4,probe_height_T5,indicated_volume_gal_T5,indicated_weight_lb_T5,true_volume_gal_T5,true_weight_lb_T5,volume_error_in3_T5,fuel_wl_T5,phase,active_tanks,scale_gross_weight_lb,dry_weight_lb
0,0.0,0.3,-0.2,6.730481049999998,6.71,0.020481049999998113,668.2799504942316,666.6051948051947,4497.8455428963625,4472.920857142857,24.9246857535054,15.368094341595098,60.77015401163419,409.0123699808853,60.78701298701301,407.8808571428573,-3.89442331250757,103.602,17.385009023916133,152.8535849969226,1028.7781572463516,152.72727272727272,1024.8,29.178134289119043,102.64,19.26010662805652,169.62289400421577,1141.6436737415324,169.69696969696966,1138.6666666666665,-17.11148502615106,99.6,17.37255680806335,152.8109750698057,1028.4913719393494,152.72727272727272,1024.8,19.335241125118046,102.64,21.847645935163424,132.22234241165327,889.9199699882435,130.66666666666666,876.7733333333333,359.3610970919108,104.56,1,[1],16472.920857142857,12000.0
1,1.0,0.27770031787519006,-0.22047860809120984,6.730775158226297,6.71,0.020775158226297386,667.6610175664288,666.3012987012986,4493.876191152211,4470.881714285713,22.99447686649728,15.301587959497263,60.64835244023276,408.2104239920719,60.48311688311689,405.8417142857143,38.16941369376582,103.524,17.37132061395123,152.82585546994056,1028.6364715317584,152.72727272727272,1024.8,22.77261355626979,102.64,19.308388162686228,169.4850964553681,1140.7660769113795,169.69696969696966,1138.6666666666665,-48.94271880995802,99.6,17.377375015681654,152.40042460012344,1025.7729920016507,152.72727272727272,1024.8,-75.5019173714827,102.64,21.844144261872923,132.30128860076388,890.4902267153495,130.66666666666666,876.7733333333333,377.5976667764626,104.56,1,[1],,12000.0
2,2.0,0.29143233861256723,-0.23122609955300866,6.731069220009499,6.71,0.02106922000949929,667.2428261761199,665.9974025974025,4491.25764954623,4468.84257142857,22.415078117659505,15.202302752729098,60.12854003079742,404.7293650454095,60.179220779220756,403.8025714285713,-11.707252885791604,103.446,17.394450826773486,153.04582015692432,1030.1620093093827,152.72727272727272,1024.8,73.58445624951855,102.64,19.290424523891026,169.3170805888298,1139.68498957334,169.69696969696966,1138.6666666666665,-87.75438398030383,99.6,17.38064618371107,152.40814525348054,1025.8697753944398,152.72727272727272,1024.8,-73.71844644599332,102.64,21.848012026921573,132.3432401460879,890.8115102236578,130.66666666666666,876.7733333333333,387.2884737463064,104.56,1,[1],,12000.0
3,3.0,0.3088293095542659,-0.21037162282725427,6.731363188913839,6.71,0.02136318891383926,666.9542335854685,665.6935064935064,4489.511176647465,4466.803428571428,22.707748076036296,15.17083295201741,60.158778510025776,404.95058715240845,59.87532467532465,401.7634285714284,65.47783581596013,103.368,17.360108817686253,152.4503336263715,1026.1985639101908,152.72727272727272,1024.8,-63.97293230818468,102.64,19.311401664958815,169.47849127158338,1140.8212774581918,169.69696969696966,1138.6666666666665,-50.468516264234495,99.6,17.367721050846907,152.57558931580144,1027.0417054472214,152.72727272727272,1024.8,-35.038868049865414,102.64,21.839968102003336,132.29104086168644,890.4990426794526,130.66666666666666,876.7733333333333,375.2304390495665,104.56,1,[1],,12000.0
4,4.0,0.26822031268564644,-0.20873662137167404,6.731657018518218,6.71,0.02165701851821833,666.2434461857389,665.3896103896103,4484.922370557994,4464.7642857142855,20.15808484370882,15.064865083424065,59.71229694873024,401.96270284676393,59.571428571428534,399.7242857142855,32.54059515669542,103.28999999999999,17.347384121313144,152.32291599508486,1025.3856265394738,152.72727272727272,1024.8,-93.40640513539984,102.64,19.285779016496633,169.71008487751814,1142.4300839790676,169.69696969696966,1138.6666666666665,3.029606706695631,99.6,17.37233371618282,152.50513466179322,1026.6122601061263,152.72727272727272,1024.8,-51.31389312576357,102.64,21.834903473141193,131.99301370261244,888.5316970865624,130.66666666666666,876.7733333333333,306.3861653034728,104.56,1,[1],,12000.0
5,5.0,0.2409945194215436,-0.19700800936642046,6.731950662423536,6.71,0.021950662423535938,665.8560907959866,665.0857142857142,4482.510351512788,4462.725142857142,19.785208655645874,14.985578271261431,59.19759462233752,398.515286331725,59.26753246753242,397.6851428571425,-16.155642240020825,103.21199999999999,17.375782387973803,152.77614759293908,1028.4814879908022,152.72727272727275,1024.8000000000002,11.2900939689207,102.64,19.269997270611125,169.57355489827253,1141.5608052269397,169.69696969696966,1138.6666666666665,-28.50881849903817,99.6,17.360592546914148,152.59528030067912,1027.263898302862,152.72727272727275,1024.8000000000002,-30.49025054313097,102.64,21.785836650612698,131.71351338175828,886.6888736604589,130.66666666666666,876.7733333333333,241.8215911861589,104.56,1,[1],,12000.0
6,6.0,0.24264138229067386,-0.17554751996922488,6.732244074260014,6.71,0.022244074260013846,665.6165889432798,664.7818181818182,4481.093336642559,4460.686,20.40733664255913,14.876683377686126,58.888961516609285,396.45486220951886,58.963636363636304,395.6459999999996,-17.249889663240538,103.13399999999999,17.337502956152353,152.5365446916983,1026.9132491087837,152.72727272727272,1024.8,-44.058176217688015,102.64,19.30248908835098,169.67856585966828,1142.3175195376893,169.69696969696966,1138.6666666666665,-4.2512864166201325,99.6,17.384224531595862,152.62226761055877,1027.4903567213103,152.72727272727272,1024.8,-24.25618196092546,102.64,21.785945897219225,131.89024926474514,887.9173490652566,130.66666666666669,876.7733333333334,282.64758015612097,104.56,1,[1],,12000.0
7,7.0,0.23539011662089546,-0.18573509857658402,6.732537207694525,6.71,0.022537207694525385,665.0694297778441,664.4779220779219,4477.604681679517,4458.646857142856,18.957824536661064,14.83315951762513,58.70378688317632,395.22542942355443,58.659740259740204,393.60685714285677,10.17477001374391,103.05599999999998,17.345366282200622,152.2681934591823,1025.151278012373,152.72727272727272,1024.8,-106.04731092888687,102.64,19.280800529189502,169.3162434165896,1139.9279086692527,169.69696969696966,1138.6666666666665,-87.94777076779428,99.6,17.372848514721415,152.75445518509312,1028.4250531747452,152.72727272727272,1024.8,6.27914775651152,102.64,21.777414509245904,132.02675083380282,888.8750123995917,130.66666666666666,876.7733333333333,314.17944260845616,104.56,1,[1],,12000.0
8,8.0,0.2342001923046007,-0.16184736228761765,6.732830016437899,6.71,0.022830016437898948,664.4498646061631,664.1740259740258,4473.627992838473,4456.607714285713,17.02027855275992,14.750511807879333,58.38124896238245,393.0710254110625,58.355844155844075,391.56771428571375,5.868510310365309,102.97799999999998,17.379135504751154,152.50110888906752,1026.7640434683783,152.72727272727272,1024.8,-52.24384662540251,102.64,19.292032728850984,169.27749719750406,1139.7166142388376,169.69696969696966,1138.6666666666665,-96.89814737655252,99.6,17.346083207088224,152.41995912073793,1026.2176758723417,152.72727272727272,1024.8,-70.98944310953812,102.64,21.7754292508421,131.87005043647133,887.8586338478539,130.66666666666666,876.7733333333333,277.9816508248805,104.56,1,[1],,12000.0
9,9.0,0.2162973118300831,-0.14961622111183914,6.733122454252243,6.71,0.023122454252242797,664.5013957965508,663.8701298701299,4474.169268919713,4454.568571428571,19.600697491142455,14.669614933178101,58.13836144357041,391.4527068891368,58.05194805194796,389.5285714285708,19.961493464787054,102.89999999999998,17.38330770217946,152.6752793078509,1027.9813513169238,152.72727272727275,1024.8000000000002,-12.010479886448593,102.64,19.29088120835707,169.6473009546069,1142.2560513607516,169.69696969696966,1138.6666666666665,-11.473479485801363,99.6,17.336253311320846,152.11301163891815,1024.1955342499325,152.72727272727275,1024.8000000000002,-141.89431140991655,102.64,21.74117750810475,131.92744245160452,888.2836251029689,130.66666666666669,876.7733333333334,291.2392063206389,104.56,1,[1],,12000.0
